sentence_id,sentence,language
0,In the beginning God created the heaven and the earth.,eng
1,We agree with you.,eng
2,This mountain has an altitude of 3,eng
3,The problem is I don't have time for it.,eng
4,He's always short of money.,eng
5,He is inclined to be lazy.,eng
6,I would like to go and get my stuff.,eng
7,He has made me what I am today.,eng
8,We felt the earth tremble.,eng
9,There once lived an old man on that island.,eng
10,Unless you hurry,eng
11,I want to pay it back to you.,eng
12,The exchange rates for foreign currency change daily.,eng
13,Take the elevator to the fifth floor.,eng
14,I will stay here till three o'clock.,eng
15,This study grant was given to me by the departmental council.,eng
16,Even after delivery,eng
17,Monotheistic religions are a big lie for humanity.,eng
18,You look surprised.,eng
19,I should have kept my mouth shut.,eng
20,He should have kept his mouth shut.,eng
21,She should have kept her mouth shut.,eng
22,You should have kept your mouth shut.,eng
23,You should've kept your mouth shut.,eng
24,When she was young,eng
25,She never dreamed she'd meet him overseas.,eng
26,I'm meeting someone for dinner.,eng
27,I'd like to give this to somebody we can trust.,eng
28,I'd like to get married to someone like you.,eng
29,The water on the road was just a mirage.,eng
30,It is strictly forbidden to translate this sentence!,eng
31,I need someone who I can talk to.,eng
32,I need someone now.,eng
33,I need somebody I can trust.,eng
34,I know someone who can help you.,eng
35,I know somebody who can help us.,eng
36,I hired someone today.,eng
37,I heard somebody talking.,eng
38,I have to tell someone.,eng
39,I have to talk to somebody.,eng
40,I have to find someone to help me.,eng
41,I had to tell somebody.,eng
42,Does someone here know how to do this?,eng
43,Did somebody mention my name?,eng
44,Did someone die?,eng
45,Spanish is not only spoken in Spain.,eng
46,She made believe that she had not heard him.,eng
47,It was a spacious harbour,eng
48,There is nothing more refreshing than a cold beer on a hot day.,eng
49,We cannot meet your needs.,eng
50,Did I hear you talking to someone?,eng
51,Could someone hand me a knife?,eng
52,Could somebody get me a spoon?,eng
53,Can someone open a window?,eng
54,Can somebody please help me?,eng
55,Can somebody give me a hand here?,eng
56,Can somebody help me?,eng
57,Can someone give me a lift?,eng
58,Are you expecting someone?,eng
59,Are you waiting for someone?,eng
60,Are you looking for somebody?,eng
61,We can not learn Japanese without learning Kanji.,eng
62,Everyone likes you.,eng
63,Everyone knows that.,eng
64,Everyone is waiting in the other room.,eng
65,Everyone is silent.,eng
66,Everyone is scared.,eng
67,Everyone is in the living room watching TV.,eng
68,Everyone is here.,eng
69,Everyone is gone now.,eng
70,Everyone is exhausted.,eng
71,Everyone in the classroom was coughing.,eng
72,Everybody in the audience sang along.,eng
73,Everybody's having a good time.,eng
74,Everybody is having a good time.,eng
75,Everybody has secrets.,eng
76,Everybody has already left.,eng
77,They're all dead.,eng
78,Everybody was clapping.,eng
79,Everyone at the party was drinking wine.,eng
80,Everybody at school hates me.,eng
81,What's everyone staring at?,eng
82,Is everybody OK?,eng
83,Is everybody ready?,eng
84,Is everyone ready?,eng
85,Is everybody okay?,eng
86,Is everybody having a good time?,eng
87,Is everyone having fun?,eng
88,I get along with everybody.,eng
89,Almost everyone was late.,eng
90,Where's everyone else?,eng
91,Where's everybody else?,eng
92,Where's everyone going?,eng
93,There isn't room for everyone.,eng
94,I know everybody here.,eng
95,I was leaving home,eng
96,Just about everyone came.,eng
97,If you do that,eng
98,The scales of this fish shine with the light.,eng
99,Can we believe that?,eng
100,My mother plays the piano well.,eng
101,Are we mad squirrels?,eng
102,Tom has a bald spot.,eng
103,We talked about this yesterday.,eng
104,"Trust me, he said.",eng
105,I've never liked him.,eng
106,What kind of man are you?,eng
107,How much is the fare to the Hilton Hotel?,eng
108,What's the name of your ship?,eng
109,I did not understand a word.,eng
110,Pay attention to what you're eating!,eng
111,It was my mistake.,eng
112,Which book do you want?,eng
113,I think you know her.,eng
114,I think you know him.,eng
115,You should wash your hair.,eng
116,I liked you even more when I met you.,eng
117,Come over here!,eng
118,She absented herself from the lesson.,eng
119,He raised the flag.,eng
120,The murderer will soon confess his crime.,eng
121,He blamed it on me.,eng
122,I received a letter from my friend.,eng
123,What time is it in London now?,eng
124,Tom made himself a cup of tea.,eng
125,Tom made good money on that deal.,eng
126,He doesn't know English at all.,eng
127,Tom made a promise to himself that he would never make the same mistake again.,eng
128,The school is very far from here.,eng
129,I think it is a mere coincidence.,eng
130,Every time that I see you,eng
131,He found the experience enjoyable.,eng
132,Tom loved his family very much.,eng
133,This juice tastes sour.,eng
134,He's with his parents.,eng
135,Tom lost his wallet.,eng
136,Tom lost his umbrella.,eng
137,She had the courage to go and inquire about the results of the exam.,eng
138,He wants to go to Africa.,eng
139,He worked hard,eng
140,I was afraid I might fall asleep while driving.,eng
141,She is as beautiful as ever.,eng
142,He won't get away.,eng
143,The street is paved with asphalt.,eng
144,The AC doesn't work.,eng
145,The United States of America export wheat throughout the world.,eng
146,Tom forgot the anniversary of their first date.,eng
147,What is usually the cause for the pain?,eng
148,Jane went to the bank to take out some money.,eng
149,Sometimes,eng
150,This coffee is too bitter.,eng
151,I like all sorts of paintings.,eng
152,Shut that door.,eng
153,She told me she would be here about six.,eng
154,There has been a large increase in trade between the United States and China.,eng
155,The rhinoceros is very big.,eng
156,He finally went through with his plan to go to Thailand.,eng
157,Is dad in the kitchen?,eng
158,She works as hard as any other student.,eng
159,As if it weren't enough already!,eng
160,Give me back my bag.,eng
161,I'm not going to answer any more questions.,eng
162,He's a car salesman.,eng
163,Luck is blind.,eng
164,We live in a complicated world.,eng
165,We live in a very complicated world.,eng
166,Try your luck!,eng
167,I don't know her telephone number.,eng
168,You're in luck.,eng
169,Are you really Tom's brother?,eng
170,He didn't recognize me.,eng
171,Tom eats like a pig.,eng
172,Tom screamed like a woman.,eng
173,Tom cried like a baby.,eng
174,Fight like a man!,eng
175,Act like a man.,eng
176,He is at the office.,eng
177,I hope for nothing,eng
178,He was angry with her.,eng
179,I'm not scared.,eng
180,She is not afraid of anything.,eng
181,How could you have let it happen?,eng
182,Tom has never been in prison.,eng
183,I can't add anything to that.,eng
184,Tom died from cancer in 2013.,eng
185,Tom says he wants to learn how to play the oboe.,eng
186,This text is not a translated text.,eng
187,Your name's further down the list.,eng
188,As I entered the café,eng
189,Potatoes are vegetables.,eng
190,He has very bad luck.,eng
191,He is trustworthy.,eng
192,Rye,eng
193,I'm getting tired of your complaints.,eng
194,Fried food does not agree with me.,eng
195,I am four years younger than him.,eng
196,The swallow is a migratory bird.,eng
197,I'm tired of all these lies.,eng
198,I'm getting tired of your lies.,eng
199,Nothing is obvious.,eng
200,We are looking for lodging accommodations.,eng
201,The population was crushed by the taxes.,eng
202,Tom took his clothes off and put them into the washing machine.,eng
203,How long will Tom be in Boston?,eng
204,Could you tell me the way to the zoo?,eng
205,Let's discuss the problem with them.,eng
206,She found it difficult to answer the question.,eng
207,The same explanation is true of that case.,eng
208,She was having a hard time swimming.,eng
209,At night you sleep.,eng
210,I dislike big cities.,eng
211,Do you have trouble sleeping at night?,eng
212,The student was caught in the act of cheating.,eng
213,Why do people use indirectness?,eng
214,You ran in the garden.,eng
215,She is among the best artists of today.,eng
216,I'm actually a mutt.,eng
217,My father usually comes home at six.,eng
218,It frosted last night.,eng
219,Can I borrow yours?,eng
220,He will not come today.,eng
221,I tried to master English for more than ten years,eng
222,How many pens are there on the desk?,eng
223,Today I studied Chinese for two hours.,eng
224,He missed the 8:30 train.,eng
225,After winter,eng
226,"This car was selected the ""car of the year"".",eng
227,Almost everyone came.,eng
228,You can't be too careful when you drive.,eng
229,Two students are absent today.,eng
230,I was beside myself with joy when I heard the news.,eng
231,Soccer is more popular than tennis.,eng
232,None of us is so foolish as to believe that he was telling the truth.,eng
233,Upon finding out about the others' success,eng
234,Please hang your coat in the anteroom.,eng
235,They are on their way home.,eng
236,Is this the right train for Tokyo?,eng
237,I think it's a great pity that he died so young.,eng
238,We should've stayed at home.,eng
239,Are you from Urumqi?,eng
240,He doesn't altogether trust me.,eng
241,The teacher sits on the chair.,eng
242,Vultures circled above the dead body.,eng
243,I live near here.,eng
244,It's an interesting book.,eng
245,You had better avail yourself of this opportunity.,eng
246,The problem resolved itself.,eng
247,The injured were removed from the scene.,eng
248,Mrs. Hughes,eng
249,The class begins at 8:30.,eng
250,Tom isn't watching TV now.,eng
251,Cinderella had two wicked stepsisters.,eng
252,I had no intention of living in a large city from the start.,eng
253,Ken was looking for you.,eng
254,They were all so tired that they could do nothing but yawn.,eng
255,Are you going to cut down all the trees here?,eng
256,Tom got an award for the highest sales at his company.,eng
257,Please put the table next to the wall.,eng
258,When in Rome,eng
259,The plane will land in an hour.,eng
260,Having graduated from college,eng
261,The field was rank with weeds.,eng
262,You must stand in a line to buy the ticket.,eng
263,I usually do my shopping at this supermarket.,eng
264,Have you ever been abroad?,eng
265,The building is under construction.,eng
266,I am going shopping.,eng
267,The girls were dancing lightly like so many butterflies.,eng
268,I thank you sincerely for having shown me the errors.,eng
269,Did you call me up last night?,eng
270,Tony can run fast.,eng
271,Let's wait and see.,eng
272,I'm not afraid anymore.,eng
273,How do you spell your family name?,eng
274,When he asked who had broken the window,eng
275,She's out for a walk.,eng
276,Which house is his?,eng
277,I suggest we stay home and watch television.,eng
278,He and I are like-minded.,eng
279,Remember to see him tomorrow.,eng
280,The victory is ours.,eng
281,He often writes to his parents.,eng
282,I respect Mr. Brown.,eng
283,The burglars are in prison.,eng
284,Tom always wanted to join the air force.,eng
285,Do you think that we'll find her house?,eng
286,She made an abrupt answer.,eng
287,I'll drop if I don't sit down.,eng
288,She has dry hair.,eng
289,She has a great interest in music.,eng
290,He thinks that you need to sleep more.,eng
291,How high is Mt. Fuji?,eng
292,There was a flag at the top of the pole.,eng
293,What is he talking about?,eng
294,Cool the burned finger in running water.,eng
295,It's easy to find an example.,eng
296,Let's play this Sunday.,eng
297,We were wasted.,eng
298,Very few people know what their blood group is.,eng
299,It's our only show.,eng
300,Unless it rains,eng
301,Keep your head low.,eng
302,My opinion is a little different from yours.,eng
303,It's excruciatingly slow.,eng
304,Why did they turn down your proposal?,eng
305,Twenty people attended the party.,eng
306,I worked hard last month.,eng
307,I rate him among the best modern composers in Japan.,eng
308,His wife gave birth to twins.,eng
309,He strongly cried out asking for help.,eng
310,The girl who lives next door is very pretty.,eng
311,The mother puts the sugar bowl on the table.,eng
312,How about another cup of coffee?,eng
313,Would you please repeat what you just said?,eng
314,The way is long.,eng
315,He never hears what I'm trying to say.,eng
316,He decided on that.,eng
317,I couldn't understand his ideas.,eng
318,The foreigner speaks Japanese as if it were his native language.,eng
319,Tom kept talking all night.,eng
320,I like having breakfast with you.,eng
321,There's almost no milk left in the glass.,eng
322,I wonder if they'll get divorced.,eng
323,I can't stand that guy.,eng
324,Can you give me your phone number?,eng
325,Something is wrong with the brakes.,eng
326,You must have dropped a bundle for that wedding ring!,eng
327,I have never been spoken to by a foreigner before.,eng
328,I've made lots of friends.,eng
329,He wouldn't mention the plan.,eng
330,I didn't want to catch a cold,eng
331,That's a horse of a different color.,eng
332,The snowstorm continued.,eng
333,My grandfather usually eats breakfast at six.,eng
334,Don't worry about my dog.,eng
335,He doesn't show any interest in science.,eng
336,He was accused of stealing the jewels.,eng
337,You can park here.,eng
338,I know that some people value my work.,eng
339,She accepted his gift.,eng
340,Tomorrow is Saturday,eng
341,I've got a pain in my side.,eng
342,There are a great many books in this library.,eng
343,Tom is in Boston now.,eng
344,We all strive for success.,eng
345,I'm at a loss for words.,eng
346,She met somebody who many people meet.,eng
347,The wedding took place at the Ritz Hotel.,eng
348,Wash the writing table.,eng
349,What is your favorite TV program?,eng
350,It has been cold since yesterday.,eng
351,Welcome to our restaurant!,eng
352,I want my whole family to be proud of me.,eng
353,One of the biggest problems in our modern society is that the people don't see the world as I do.,eng
354,A monument was erected in memory of the deceased.,eng
355,I persuaded her to be at home.,eng
356,Stop pretending you don't know me.,eng
357,That's all changed now.,eng
358,But it is better to stay at home.,eng
359,We have to split.,eng
360,I'll find you.,eng
361,It is necessary to make the study of languages easier.,eng
362,You can get dressed now.,eng
363,I need to get started now.,eng
364,You were supposed to have this finished by yesterday.,eng
365,Why don't you try and get some sleep?,eng
366,I was invited to go abroad,eng
367,Because of the accident I went too late to school.,eng
368,To travel hopefully is a better thing than to arrive.,eng
369,He could deduct the furnishing of his work room from his taxes.,eng
370,What was that song you were singing?,eng
371,Why are you talking like that?,eng
372,Who's the best person to speak with to file a complaint?,eng
373,Do you know where Tom's staying?,eng
374,I don't know where you live.,eng
375,I have problems concentrating.,eng
376,What do you think of this work?,eng
377,The two regions differ in religion and culture.,eng
378,A lot of wild animals died because there wasn't any food.,eng
379,We are from Canada.,eng
380,Many clients come to that lawyer for advice.,eng
381,For once in my life I'm doing a good deed... And it is useless.,eng
382,We're not ready to have a kid now.,eng
383,We're on the same page now.,eng
384,We're totally different people now.,eng
385,It's got to be now.,eng
386,You can't change your mind now.,eng
387,I want you focus on the here and now.,eng
388,I want guards posted here and I want them here now.,eng
389,We have a bit of time now.,eng
390,My computer works fine now.,eng
391,I get the picture now.,eng
392,I wish you all good luck.,eng
393,Usefulness must be combined with pleasantness.,eng
394,You're part of the gang now.,eng
395,The air conditioner seems to be working now.,eng
396,You may still be in luck.,eng
397,They're bringing him in for questioning now.,eng
398,I'm in the mood to talk now.,eng
399,That's how I feel now.,eng
400,They just want to get to know you.,eng
401,Nobody was able to suggest a solution.,eng
402,I don't need to be lectured by you.,eng
403,I'd appreciate it if you'd help me.,eng
404,The salt cellar was on the table.,eng
405,Good luck. You'll need it.,eng
406,I'm still intimidated by you.,eng
407,The salt cellar will be on the table.,eng
408,I will give them food.,eng
409,I wish that were true.,eng
410,It's bad luck to say that.,eng
411,A calamity was avoided by sheer luck.,eng
412,Tom took three deep breaths.,eng
413,She attributed her success to good luck.,eng
414,That's what I love about Tom.,eng
415,If I want it so badly,eng
416,I showed him my deepest regret.,eng
417,Everybody likes you.,eng
418,I came to wish you good luck.,eng
419,In order to isolate him from bacteria,eng
420,Of course I apologised,eng
421,I don't know the key to success,eng
422,Don't take any notice of what he says.,eng
423,Even if you are not to blame,eng
424,I told you everything I knew.,eng
425,I called Susan to apologize to her,eng
426,Thank you very much for patronizing our store for a long time.,eng
427,I have to say I envy you.,eng
428,You nearly broke my jaw.,eng
429,It's 11 o'clock. The children must go to bed. They have school tomorrow.,eng
430,It can't hurt you.,eng
431,You could see the elation in the president's face when he announced that our shares are going to be listed on the First Section of the TSE next year.,eng
432,He has a six-figure salary.,eng
433,Quite a few people couldn't recognize him in that disguise.,eng
434,If you could come,eng
435,Must I stay in bed?,eng
436,I made known my intentions to my parents.,eng
437,Tom is a car salesman.,eng
438,I shit in your milk.,eng
439,Stop asking yourself useless questions.,eng
440,Don't go near that!,eng
441,Beauty is the power by which a woman charms a lover and terrifies a husband.,eng
442,Yeah,eng
443,Sami can't do an Egyptian accent.,eng
444,"I won't let you hurt my friends! ""I wasn't going to hurt your friends.""",eng
445,I'll be there right away.,eng
446,I have another good idea.,eng
447,I have to drink.,eng
448,Read a book!,eng
449,He said that he had written.,eng
450,I'll use magic on him and turn him into a frog.,eng
451,Their trip was postponed because of the rain.,eng
452,I have to write some letters.,eng
453,I'll have some letters to write.,eng
454,I love learning.,eng
455,I bought something for Mary.,eng
456,Who am I? Where do I come from? Is there life after death? What is the meaning of life on earth?,eng
457,Elaine is in hospital.,eng
458,I'm studying English because I plan to go to the United States.,eng
459,He loves you.,eng
460,Don't watch TV.,eng
461,You understand me.,eng
462,Paying attention to what you are doing is one of the most important keys to success.,eng
463,It was really cheap.,eng
464,I heard you just got married.,eng
465,If not now,eng
466,I only know this: that I know nothing.,eng
467,I had a terrible dream.,eng
468,He who writes reads twice.,eng
469,One learns by one's mistakes.,eng
470,Mary knows why.,eng
471,We know why.,eng
472,They know why.,eng
473,Lucy knows Mary.,eng
474,Do you like cheeseburgers?,eng
475,Let's run to the bus stop.,eng
476,In his speech he dwelt on the importance of education.,eng
477,She hates you,eng
478,The furnishing of his work room was tax deductible.,eng
479,He could write off his work room's furnishing from his taxes.,eng
480,We know by the flowers the quality of the fruit.,eng
481,The thief entered through a broken window.,eng
482,Please fasten your seat belt.,eng
483,Miracles are called miracles because they don't happen!,eng
484,I stopped so I could smoke a cigarette.,eng
485,I stopped to smoke.,eng
486,I saw him crossing the road.,eng
487,You betrayed me.,eng
488,Two in distress make sorrow less.,eng
489,Cool story,eng
490,Why don't you admit your mistake?,eng
491,We're looking for Tom.,eng
492,This doesn't involve you.,eng
493,There are books here.,eng
494,I can't stand being treated like a child.,eng
495,Tom slept outside.,eng
496,That's right,eng
497,Yes,eng
498,He will come this afternoon.,eng
499,The magazine is issued twice a month.,eng
500,I'd appreciate it if you'd come with me.,eng
501,It won't work.,eng
502,I recognized her at first sight.,eng
503,Sir,eng
504,Is the chairman going to resign?,eng
505,"Never write the words ""bortsch"" and ""shchi"" in German!",eng
506,I talked to everybody.,eng
507,Good evening,eng
508,Sometimes it seems that everybody hates me.,eng
509,I'm going to tell everybody.,eng
510,Be polite to everyone.,eng
511,Why's everyone whispering?,eng
512,Why's everybody so quiet?,eng
513,The money will carry us for about a month.,eng
514,There's nobody home.,eng
515,No one is home.,eng
516,Nobody's going to hire you.,eng
517,Nobody will hire you.,eng
518,Nobody was home.,eng
519,Nobody told me you were here.,eng
520,No one saw me.,eng
521,Nobody lives there.,eng
